Gene name	Synonym	Accession number	Functional category	Description
mmpL5	<I>Rv0676c</I>	Rv0676c	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL5
mmpL6	<I>Rv1557</I>	Rv1557	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL6
mmpL7	<I>Rv2942</I>	Rv2942	3	CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL7
mmpL8	<I>Rv3823c</I>	Rv3823c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN MMPL8
mmpL9	<I>Rv2339</I>	Rv2339	3	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL9
mmpS1	<I>Rv0403c</I>	Rv0403c	3	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS1
mmpS2	<I>Rv0506</I>	Rv0506	3	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS2
mmpS3	<I>Rv2198c</I>	Rv2198c	3	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS3
mmpS4	<I>Rv0451c</I>	Rv0451c	3	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS4
mmpS5	<I>Rv0677c</I>	Rv0677c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN MMPS5
mmr	<I>emrE</I>, <I>Rv3065</I>	Rv3065	3	MULTIDRUGS-TRANSPORT INTEGRAL MEMBRANE PROTEIN MMR
mntH	<I>Nramp</I>, <I>Mramp</I>, <I>Rv0924c</I>	Rv0924c	3	DIVALENT CATION-TRANSPORT INTEGRAL MEMBRANE PROTEIN MNTH (BRAMP) (MRAMP)
modA	<I>Rv1857</I>	Rv1857	3	PROBABLE MOLYBDATE-BINDING LIPOPROTEIN MODA
modB	<I>Rv1858</I>	Rv1858	3	PROBABLE MOLBDENUM-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER MODB
modC	<I>Rv1859</I>	Rv1859	3	PROBABLE MOLYBDENUM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER MODC
mpt53	<I>dsbE</I>, <I>Rv2878c</I>	Rv2878c	3	SOLUBLE SECRETED ANTIGEN MPT53 PRECURSOR
mpt63	<I>mpb63</I>, <I>Rv1926c</I>	Rv1926c	3	IMMUNOGENIC PROTEIN MPT63 (ANTIGEN MPT63/MPB63) (16 kDa IMMUNOPROTECTIVE EXTRACELLULAR PROTEIN)
mpt64	<I>mpb64</I>, <I>Rv1980c</I>	Rv1980c	3	IMMUNOGENIC PROTEIN MPT64 (ANTIGEN MPT64/MPB64)
mpt70	<I>mpb70</I>, <I>Rv2875</I>	Rv2875	3	MAJOR SECRETED IMMUNOGENIC PROTEIN MPT70
mpt83	<I>mpb83</I>, <I>Rv2873</I>	Rv2873	3	CELL SURFACE LIPOPROTEIN MPT83 (LIPOPROTEIN P23)
mptA	<I>Rv2174</I>	Rv2174	3	Alpha(1->6)mannosyltransferase. Possible conserved integral membrane protein
mscL	<I>Rv0985c</I>	Rv0985c	3	POSSIBLE LARGE-CONDUCTANCE ION MECHANOSENSITIVE CHANNEL MSCL
mtc28	<I>Rv0040c</I>	Rv0040c	3	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)
murA	<I>Rv1315</I>	Rv1315	3	PROBABLE UDP-N-ACETYLGLUCOSAMINE 1-CARBOXYVINYLTRANSFERASE MURA
murB	<I>Rv0482</I>	Rv0482	3	PROBABLE UDP-N-ACETYLENOLPYRUVOYLGLUCOSAMINE REDUCTASE MURB (UDP-N-ACETYLMURAMATE DEHYDROGENASE)
murC	<I>Rv2152c</I>	Rv2152c	3	Probable UDP-N-acetylmuramate-alanine ligase MurC
murD	<I>Rv2155c</I>	Rv2155c	3	Probable UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD
murE	<I>Rv2158c</I>	Rv2158c	3	ProbableUDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase MurE
murF	<I>Rv2157c</I>	Rv2157c	3	ProbableUDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanyl ligase MurF
murG	<I>Rv2153c</I>	Rv2153c	3	ProbableUPD-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase MurG
murI	<I>Rv1338</I>	Rv1338	3	PROBABLE GLUTAMATE RACEMASE MURI
murX	<I>Rv2156c</I>	Rv2156c	3	Probable phospho-N-acetylmuramoyl-pentappeptidetransferase MurX
nagA	<I>Rv3332</I>	Rv3332	3	PROBABLE N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE NAGA (GLCNAC 6-P DEACETYLASE)
nanT	<I>Rv1902c</I>	Rv1902c	3	PROBABLE SIALIC ACID-TRANSPORT INTEGRAL MEMBRANE PROTEIN NANT
narK1	<I>Rv2329c</I>	Rv2329c	3	PROBABLE NITRITE EXTRUSION PROTEIN 1 NARK1 (NITRITE FACILITATOR 1)
narK2	<I>Rv1737c</I>	Rv1737c	3	POSSIBLE NITRATE/NITRITE TRANSPORTER NARK2
narK3	<I>Rv0261c</I>	Rv0261c	3	PROBABLE INTEGRAL MEMBRANE NITRITE EXTRUSION PROTEIN NARK3 (NITRITE FACILITATOR)
narU	<I>Rv0267</I>	Rv0267	3	PROBABLE INTEGRAL MEMBRANE NITRITE EXTRUSION PROTEIN NARU (NITRITE FACILITATOR)
nicT	<I>Rv2856</I>	Rv2856	3	POSSIBLE NICKEL-TRANSPORT INTEGRAL MEMBRANE PROTEIN NICT
ompA	<I>Rv0899</I>	Rv0899	3	OUTER MEMBRANE PROTEIN A OMPA
oppA	<I>Rv1280c</I>	Rv1280c	3	PROBABLE PERIPLASMIC OLIGOPEPTIDE-BINDING LIPOPROTEIN OPPA
oppB	<I>Rv1283c</I>	Rv1283c	3	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPB
oppC	<I>Rv1282c</I>	Rv1282c	3	PROBABLE OLIGOPEPTIDE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER OPPC
oppD	<I>Rv1281c</I>	Rv1281c	3	PROBABLE OLIGOPEPTIDE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER OPPD
parA	<I>parB</I>, <I>Rv3918c</I>	Rv3918c	3	PROBABLE CHROMOSOME PARTITIONING PROTEIN PARA
parB	<I>parA</I>, <I>Rv3917c</I>	Rv3917c	3	PROBABLE CHROMOSOME PARTITIONING PROTEIN PARB
pbpA	<I>Rv0016c</I>	Rv0016c	3	PROBABLE PENICILLIN-BINDING PROTEIN PBPA
pbpB	<I>Rv2163c</I>	Rv2163c	3	Probable penicillin-binding membrane protein pbpB
phoT	<I>Rv0820</I>	Rv0820	3	PROBABLE PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PHOT
phoY1	<I>Rv3301c</I>	Rv3301c	3	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOU HOMOLOG 1 PHOY1
phoY2	<I>Rv0821c</I>	Rv0821c	3	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOY2
pimE	<I>Rv1159</I>	Rv1159	3	mannosyltransferase
pirG	<I>erp</I>, <I>P36</I>, <I>Rv3810</I>	Rv3810	3	EXPORTED REPETITIVE PROTEIN PRECURSOR PIRG (CELL SURFACE PROTEIN) (EXP53)
pitA	<I>Rv0545c</I>	Rv0545c	3	PROBABLE LOW-AFFINITY INORGANIC PHOSPHATE TRANSPORTER INTEGRAL MEMBRANE PROTEIN PITA
pitB	<I>Rv2281</I>	Rv2281	3	Putative phosphate-transport permease PitB
ponA1	<I>Rv0050</I>	Rv0050	3	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)
ponA2	<I>Rv3682</I>	Rv3682	3	PROBABLE BIFUNCTIONAL MEMBRANE-ASSOCIATED PENICILLIN-BINDING PROTEIN 1A/1B PONA2 (MUREIN POLYMERASE) [INCLUDES: PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)]
ppm1	<I>Rv2051c</I>	Rv2051c	3	Polyprenol-monophosphomannose synthase Ppm1
pstA1	<I>Rv0930</I>	Rv0930	3	PROBABLE PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA1
pstA2	<I>Rv0936</I>	Rv0936	3	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA2
pstB	<I>Rv0933</I>	Rv0933	3	PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PSTB
pstC1	<I>Rv0935</I>	Rv0935	3	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC1
pstC2	<I>Rv0929</I>	Rv0929	3	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC2
pstS1	<I>phoS1</I>, <I>phoS</I>, <I>Rv0934</I>	Rv0934	3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS1 (PBP-1) (PSTS1)
pstS2	<I>Rv0932c</I>	Rv0932c	3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS2 (PBP-2) (PSTS2)
pstS3	<I>phoS2</I>, <I>Rv0928</I>	Rv0928	3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS3 (PBP-3) (PSTS3) (PHOS1)
rfbD	<I>Rv3783</I>	Rv3783	3	PROBABLE O-ANTIGEN/LIPOPOLYSACCHARIDE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER RFBD
rfbE	<I>Rv3781</I>	Rv3781	3	PROBABLE O-ANTIGEN/LIPOPOLYSACCHARIDE TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER RFBE
rfe	<I>wecA</I>, <I>Rv1302</I>	Rv1302	3	PROBABLE UNDECAPAPRENYL-PHOSPHATE ALPHA-N-ACETYLGLUCOSAMINYLTRANSFERASE RFE (UDP-GlcNAc TRANSFERASE)
rip	<I>Rv2869c</I>	Rv2869c	3	MEMBRANE BOUND METALLOPROTEASE
rocE	<I>Rv2320c</I>	Rv2320c	3	PROBABLE CATIONIC AMINO ACID TRANSPORT INTEGRAL MEMBRANE PROTEIN ROCE
rodA	<I>ftsW</I>, <I>Rv0017c</I>	Rv0017c	3	PROBABLE CELL DIVISION PROTEIN RODA
rpfA	<I>Rv0867c</I>	Rv0867c	3	POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA
rpfB	<I>Rv1009</I>	Rv1009	3	Probable resuscitation-promoting factor rpfB
rpfC	<I>Rv1884c</I>	Rv1884c	3	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFC
rpfD	<I>Rv2389c</I>	Rv2389c	3	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFD
rpfE	<I>Rv2450c</I>	Rv2450c	3	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFE
Rv0007		Rv0007	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0008c		Rv0008c	3	POSSIBLE MEMBRANE PROTEIN
Rv0010c		Rv0010c	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0011c		Rv0011c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0012		Rv0012	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0037c		Rv0037c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0039c		Rv0039c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0048c		Rv0048c	3	POSSIBLE MEMBRANE PROTEIN
Rv0051		Rv0051	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0064		Rv0064	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0072		Rv0072	3	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER
Rv0073		Rv0073	3	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER
Rv0076c		Rv0076c	3	PROBABLE MEMBRANE PROTEIN
Rv0090		Rv0090	3	POSSIBLE MEMBRANE PROTEIN
Rv0093c		Rv0093c	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0102		Rv0102	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0110		Rv0110	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0116c		Rv0116c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0128		Rv0128	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0143c		Rv0143c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0175		Rv0175	3	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN
Rv0176		Rv0176	3	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN
Rv0178		Rv0178	3	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN
Rv0180c		Rv0180c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0188		Rv0188	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0191		Rv0191	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0192A		Rv0192A	3	CONSERVED SECRETED PROTEIN
Rv0194		Rv0194	3	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
Rv0199		Rv0199	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0200		Rv0200	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0203		Rv0203	3	POSSIBLE EXPORTED PROTEIN
Rv0204c		Rv0204c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0205		Rv0205	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0218		Rv0218	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0219		Rv0219	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0225		Rv0225	3	POSSIBLE CONSERVED PROTEIN
Rv0226c		Rv0226c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0227c		Rv0227c	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0229c		Rv0229c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN WITH PIN DOMAIN
Rv0235c		Rv0235c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0236A		Rv0236A	3	SMALL SECRETED PROTEIN
Rv0236c		Rv0236c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0246		Rv0246	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0265c	<I>fecB2</I>	Rv0265c	3	PROBABLE PERIPLASMIC IRON-TRANSPORT LIPOPROTEIN
Rv0283		Rv0283	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0284		Rv0284	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0290		Rv0290	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0292		Rv0292	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0308		Rv0308	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0309		Rv0309	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv0314c		Rv0314c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0318c		Rv0318c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0320		Rv0320	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv0347		Rv0347	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0359		Rv0359	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0361		Rv0361	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0364		Rv0364	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0383c		Rv0383c	3	POSSIBLE CONSERVED SECRETED PROTEIN
Rv0394c		Rv0394c	3	POSSIBLE SECRETED PROTEIN
Rv0398c		Rv0398c	3	POSSIBLE SECRETED PROTEIN
Rv0401		Rv0401	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0412c		Rv0412c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0420c		Rv0420c	3	POSSIBLE TRANSMEMBRANE PROTEIN
Rv0426c		Rv0426c	3	POSSIBLE TRANSMEMBRANE PROTEIN
Rv0431		Rv0431	3	PUTATIVE TUBERCULIN RELATED PEPTIDE
Rv0435c		Rv0435c	3	PUTATIVE CONSERVED ATPASE
Rv0446c		Rv0446c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0461		Rv0461	3	PROBABLE TRANSMEMBRANE PROTEIN
Rv0463		Rv0463	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0473		Rv0473	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0476		Rv0476	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0477		Rv0477	3	POSSIBLE CONSERVED SECRETED PROTEIN
Rv0479c		Rv0479c	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0488		Rv0488	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0497		Rv0497	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0513		Rv0513	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0514		Rv0514	3	POSSIBLE TRANSMEMBRANE PROTEIN
Rv0518		Rv0518	3	POSSIBLE EXPORTED PROTEIN
Rv0519c		Rv0519c	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0528		Rv0528	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0531		Rv0531	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0537c		Rv0537c	3	PROBABLE INTEGRAL MEMBRANE PROTEIN
Rv0538		Rv0538	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv0541c		Rv0541c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0544c		Rv0544c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0556		Rv0556	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0559c		Rv0559c	3	POSSIBLE CONSERVED SECRETED PROTEIN
Rv0584		Rv0584	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv0585c		Rv0585c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0603		Rv0603	3	POSSIBLE EXPORTED PROTEIN
Rv0615		Rv0615	3	PROBABLE INTEGRAL MEMBRANE PROTEIN
Rv0621		Rv0621	3	POSSIBLE MEMBRANE PROTEIN
Rv0622		Rv0622	3	POSSIBLE MEMBRANE PROTEIN
Rv0625c		Rv0625c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0633c		Rv0633c	3	POSSIBLE EXPORTED PROTEIN
Rv0658c		Rv0658c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0666		Rv0666	3	POSSIBLE MEMBRANE PROTEIN
Rv0680c		Rv0680c	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0686		Rv0686	3	PROBABLE MEMBRANE PROTEIN
Rv0713		Rv0713	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0736		Rv0736	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv0774c		Rv0774c	3	PROBABLE CONSERVED EXPORTED PROTEIN
Rv0779c		Rv0779c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0817c		Rv0817c	3	PROBABLE CONSERVED EXPORTED PROTEIN
Rv0841		Rv0841	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0842		Rv0842	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0849		Rv0849	3	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN
Rv0870c		Rv0870c	3	POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0875c		Rv0875c	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv0876c		Rv0876c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0879c		Rv0879c	3	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0882		Rv0882	3	PROBABLE TRANSMEMBRANE PROTEIN
Rv0888		Rv0888	3	PROBABLE EXPORTED PROTEIN
Rv0900		Rv0900	3	POSSIBLE MEMBRANE PROTEIN
Rv0901		Rv0901	3	POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN
Rv0907		Rv0907	3	CONSERVED HYPOTHETICAL PROTEIN
Rv0912		Rv0912	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0954		Rv0954	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv0955		Rv0955	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0961		Rv0961	3	PROBABLE INTEGRAL MEMBRANE PROTEIN
Rv0970		Rv0970	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv0986		Rv0986	3	PROBABLE ADHESION COMPONENT TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER
Rv0987		Rv0987	3	PROBABLE ADHESION COMPONENT TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER
Rv0988		Rv0988	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv0996		Rv0996	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv1002c		Rv1002c	3	CONSERVED MEMBRANE PROTEIN
Rv1004c		Rv1004c	3	PROBABLE MEMBRANE PROTEIN
Rv1024		Rv1024	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv1072		Rv1072	3	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Rv1075c		Rv1075c	3	CONSERVED EXPORTED PROTEIN
Rv1081c		Rv1081c	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv1086		Rv1086	3	SHORT (C15) CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHASE (Z-FPP SYNTHASE) (Z-FARNESYL DIPHOSPHATE SYNTHASE) (Z-FPP SYNTHETASE) (Z-FARNESYL DIPHOSPHATE SYNTHETASE) (GERANYLTRANSTRANSFERASE) (FARNESYL PYROPHOSPHATE SYNTHETASE)
Rv1087A		Rv1087A	3	CONSERVED HYPOTHETICAL PROTEIN
Rv1097c		Rv1097c	3	PROBABLE MEMBRANE GLYCINE AND PROLINE RICH PROTEIN
Rv1101c		Rv1101c	3	CONSERVED MEMBRANE PROTEIN
Rv1115		Rv1115	3	POSSIBLE EXPORTED PROTEIN
Rv1132		Rv1132	3	CONSERVED MEMBRANE PROTEIN
Rv1139c		Rv1139c	3	CONSERVED HYPOTHETICAL MEMBRANE PROTEIN
Rv1140		Rv1140	3	PROBABLE INTEGRAL MEMBRANE PROTEIN
Rv1184c		Rv1184c	3	POSSIBLE EXPORTED PROTEIN
Rv1200		Rv1200	3	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN
Rv1216c		Rv1216c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN
Rv1217c		Rv1217c	3	PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER
Rv1218c		Rv1218c	3	PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1226c		Rv1226c	3	PROBABLE TRANSMEMBRANE PROTEIN
Rv1227c		Rv1227c	3	PROBABLE TRANSMEMBRANE PROTEIN
Rv1230c		Rv1230c	3	POSSIBLE MEMBRANE PROTEIN
Rv1231c		Rv1231c	3	PROBABLE MEMBRANE PROTEIN
Rv1233c		Rv1233c	3	CONSERVED HYPOTHETICAL MEMBRANE PROTEIN
Rv1234		Rv1234	3	PROBABLE TRANSMEMBRANE PROTEIN
Rv1249c		Rv1249c	3	POSSIBLE MEMBRANE PROTEIN
Rv1250		Rv1250	3	PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN
Rv1258c		Rv1258c	3	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN
Rv1269c		Rv1269c	3	CONSERVED PROBABLE SECRETED PROTEIN
Rv1271c		Rv1271c	3	CONSERVED HYPOTHETICAL SECRETED PROTEIN
Rv1272c		Rv1272c	3	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1273c		Rv1273c	3	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1291c		Rv1291c	3	CONSERVED HYPOTHETICAL SECRETED PROTEIN
Rv1303		Rv1303	3	CONSERVED HYPOTHETICAL TRANSMEMBRANE PROTEIN
Rv1312		Rv1312	3	CONSERVED HYPOTHETICAL SECRETED PROTEIN
Rv1337		Rv1337	3	PROBABLE INTEGRAL MEMBRANE PROTEIN
Rv1342c		Rv1342c	3	CONSERVED MEMBRANE PROTEIN
Rv1348		Rv1348	3	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1349		Rv1349	3	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1362c		Rv1362c	3	POSSIBLE MEMBRANE PROTEIN
Rv1363c		Rv1363c	3	POSSIBLE MEMBRANE PROTEIN
Rv1371		Rv1371	3	PROBABLE CONSERVED MEMBRANE PROTEIN
Rv1382		Rv1382	3	PROBABLE EXPORT OR MEMBRANE PROTEIN
Rv1401		Rv1401	3	POSSIBLE MEMBRANE PROTEIN
Rv1410c	<I>P55</I>	Rv1410c	3	AMINOGLYCOSIDES/TETRACYCLINE-TRANSPORT INTEGRAL MEMBRANE PROTEIN
Rv1417		Rv1417	3	POSSIBLE CONSERVED MEMBRANE PROTEIN
Rv1424c		Rv1424c	3	POSSIBLE MEMBRANE PROTEIN
Rv1431		Rv1431	3	CONSERVED MEMBRANE PROTEIN
Rv1433		Rv1433	3	POSSIBLE CONSERVED EXPORTED PROTEIN
Rv1435c		Rv1435c	3	Probable conserved Proline, Glycine, Valine-rich secreted protein
Rv1456c		Rv1456c	3	PROBABLE UNIDENTIFIED ANTIBIOTIC-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER
Rv1457c		Rv1457c	3	PROBABLE UNIDENTIFIED ANTIBIOTIC-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER
Rv1458c		Rv1458c	3	PROBABLE UNIDENTIFIED ANTIBIOTIC-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER
Rv1459c		Rv1459c	3	POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN
