Gene name	Synonym	Accession number	Functional category	Description
Rv3241c		Rv3241c	2	CONSERVED HYPOTHETICAL PROTEIN
Rv3263		Rv3263	2	PROBABLE DNA METHYLASE (MODIFICATION METHYLASE) (METHYLTRANSFERASE)
Rv3644c		Rv3644c	2	POSSIBLE DNA POLYMERASE
Rv3649		Rv3649	2	PROBABLE HELICASE
serS	<I>Rv3834c</I>	Rv3834c	2	SERYL-TRNA SYNTHETASE SERS (SERINE--TRNA LIGASE) (SERRS) (SERINE TRANSLASE)
sigA	<I>mysA</I>, <I>rpoV</I>, <I>rpoD</I>, <I>Rv2703</I>	Rv2703	2	RNA POLYMERASE SIGMA FACTOR SIGA (SIGMA-A)
sigB	<I>mysB</I>, <I>Rv2710</I>	Rv2710	2	RNA POLYMERASE SIGMA FACTOR SIGB
sigC	<I>Rv2069</I>	Rv2069	2	PROBABLE RNA POLYMERASE SIGMA FACTOR, ECF SUBFAMILY, SIGC
sigD	<I>Rv3414c</I>	Rv3414c	2	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA-D FACTOR SIGD
sigE	<I>Rv1221</I>	Rv1221	2	ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGE
sigF	<I>Rv3286c</I>	Rv3286c	2	ALTERNATE RNA POLYMERASE SIGMA FACTOR SIGF
sigG	<I>Rv0182c</I>	Rv0182c	2	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGG (RNA POLYMERASE ECF TYPE SIGMA FACTOR)
sigH	<I>rpoE</I>, <I>Rv3223c</I>	Rv3223c	2	ALTERNATIVE RNA POLYMERASE SIGMA-E FACTOR (SIGMA-24) SIGH (RPOE)
sigI	<I>Rv1189</I>	Rv1189	2	POSSIBLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGI
sigJ	<I>Rv3328c</I>	Rv3328c	2	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR (FRAGMENT) SIGJ
sigK	<I>Rv0445c</I>	Rv0445c	2	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGK
sigL	<I>Rv0735</I>	Rv0735	2	PROBABLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGL
sigM	<I>Rv3911</I>	Rv3911	2	POSSIBLE ALTERNATIVE RNA POLYMERASE SIGMA FACTOR SIGM
spoU	<I>Rv3366</I>	Rv3366	2	PROBABLE tRNA/rRNA METHYLASE SPOU (tRNA/rRNA METHYLTRANSFERASE)
ssb	<I>Rv0054</I>	Rv0054	2	PROBABLE SINGLE-STRAND BINDING PROTEIN SSB (HELIX-DESTABILIZING PROTEIN)
tagA	<I>Rv1210</I>	Rv1210	2	PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I TAGA (TAG I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I )
thrS	<I>Rv2614c</I>	Rv2614c	2	PROBABLE THREONYL-TRNA SYNTHETASE THRS (THREONINE-TRNA SYNTHETASE)(ThrRS) (THREONINE-TRNA LIGASE)
topA	<I>Rv3646c</I>	Rv3646c	2	DNA TOPOISOMERASE I TOPA (OMEGA-PROTEIN) (RELAXING ENZYME) (UNTWISTING ENZYME) (SWIVELASE) (TYPE I DNA TOPOISOMERASE) (NICKING-CLOSING ENZYME) (TOPO I)
trmD	<I>Rv2906c</I>	Rv2906c	2	PROBABLE TRNA (GUANINE-N1)-METHYLTRANSFERASE TRMD (M1G-METHYLTRANSFERASE) (TRNA [GM37] METHYLTRANSFERASE)
trmU	<I>Rv3024c</I>	Rv3024c	2	PROBABLE tRNA (5-METHYLAMINOMETHYL-2-THIOURIDYLATE)-METHYLTRANSFERASE TRMU
trpS	<I>Rv3336c</I>	Rv3336c	2	PROBABLE TRYPTOPHANYL-TRNA SYNTHETASE TRPS (TRYPTOPHAN--TRNA LIGASE) (TRPRS) (TRYPTOPHAN TRANSLASE)
truA	<I>Rv3455c</I>	Rv3455c	2	PROBABLE TRNA PSEUDOURIDINE SYNTHASE A TRUA (PSEUDOURIDYLATE SYNTHASE I) (PSEUDOURIDINE SYNTHASE I) (URACIL HYDROLYASE)
truB	<I>Rv2793c</I>	Rv2793c	2	PROBABLE TRNA PSEUDOURIDINE SYNTHASE B TRUB (TRNA PSEUDOURIDINE 55 SYNTHASE) (PSI55 SYNTHASE) (PSEUDOURIDYLATE SYNTHASE) (URACIL HYDROLYASE)
tsf	<I>Rv2889c</I>	Rv2889c	2	PROBABLE ELONGATION FACTOR TSF (EF-TS)
tsnR	<I>Rv1644</I>	Rv1644	2	Possible 23S rRNA methyltransferase tsnR
tuf	<I>Rv0685</I>	Rv0685	2	PROBABLE IRON-REGULATED ELONGATION FACTOR TU TUF (EF-TU)
typA	<I>bipA</I>, <I>Rv1165</I>	Rv1165	2	POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN)
tyrS	<I>Rv1689</I>	Rv1689	2	Probable Tyrosyl-tRNA synthase tyrS (TYRRS)
ung	<I>Rv2976c</I>	Rv2976c	2	PROBABLE URACIL-DNA GLYCOSYLASE UNG (UDG)
uvrA	<I>Rv1638</I>	Rv1638	2	PROBABLE EXCINUCLEASE ABC (SUBUNIT A - DNA-BINDING ATPase) UVRA
uvrB	<I>Rv1633</I>	Rv1633	2	PROBABLE EXCINUCLEASE ABC (SUBUNIT B - HELICASE) UVRB
uvrC	<I>Rv1420</I>	Rv1420	2	PROBABLE EXCINUCLEASE ABC (SUBUNIT C - NUCLEASE) UVRC
uvrD1	<I>uvrD</I>, <I>Rv0949</I>	Rv0949	2	PROBABLE ATP-DEPENDENT DNA HELICASE II UVRD1
uvrD2	<I>Rv3198c</I>	Rv3198c	2	PROBABLE ATP-DEPENDENT DNA HELICASE II UVRD2
valS	<I>Rv2448c</I>	Rv2448c	2	PROBABLE VALYL-tRNA SYNTHASE PROTEIN VALS (VALYL-tRNA SYNTHETASE) (VALINE--tRNA LIGASE) (VALINE TRANSLASE)
xseA	<I>Rv1108c</I>	Rv1108c	2	PROBABLE EXODEOXYRIBONUCLEASE VII (LARGE SUBUNIT) XSEA (EXONUCLEASE VII LARGE SUBUNIT)
xseB	<I>Rv1107c</I>	Rv1107c	2	PROBABLE EXODEOXYRIBONUCLEASE VII (SMALL SUBUNIT) XSEA (EXONUCLEASE VII SMALL SUBUNIT)
xthA	<I>xth</I>, <I>Rv0427c</I>	Rv0427c	2	PROBABLE EXODEOXYRIBONUCLEASE III PROTEIN XTHA (EXONUCLEASE III) (EXO III) (AP ENDONUCLEASE VI)
